BARRIO,ÍNDICE SEGURIDAD,PRECIO M² VENTA,PRECIO ARRIENDO,latitud,longitud
EL PINO,2.63,3800577,1192700,4.750700000000052,-74.09221999999994
NORMANDIA OCCIDENTAL,2.63,4945570,1750000,4.672620000000052,-74.10876999999994
EL RETIRO,2.63,9390607,6514000,4.6675500000000625,-74.05159999999995
SANTA BARBARA ORIENTAL,2.63,6158297,2479562,4.6990200000000755,-74.03121999999996
SANTA ANA OCCIDENTAL,2.63,6567220,4412500,4.689760000000035,-74.03672999999998
SAN LUIS,2.62,4708865,2966666,4.566920000000039,-74.10456999999997
LAS FLORES,2.62,3593861,951666,4.741400000000056,-74.08867999999995
CIUDAD TECHO II,2.61,3352252,1048333,4.639980000000037,-74.14853999999997
LA ALAMEDA,2.61,5193962,1680000,4.549250000000029,-74.13840999999996
LAS NIEVES,2.61,5942817,1707285,4.607210000000066,-74.06943999999999
PARDO RUBIO,2.6,5873401,2548820,4.635990000000049,-74.06147999999996
SANTA BARBARA,2.59,5713713,1360000,4.724340000000041,-74.11721999999997
BOCHICA,2.59,3883414,2400000,4.604990000000043,-74.10781999999995
PINOS DE LOMBARDIA,2.59,3684164,1172000,4.754290000000026,-74.09538999999995
SAN PATRICIO,2.59,6195509,3245876,4.695240000000069,-74.04985999999997
CENTRO ADMINISTRATIVO,2.58,6068262,8875000,4.596400000000074,-74.07640999999995
VILLAS DE ALCALA,2.58,3580127,900000,4.602940000000046,-74.12648999999993
SANTA MONICA,2.58,4168889,1175500,4.700870000000066,-74.11809999999997
RINCON DEL CHICO,2.58,5675585,3422625,4.686760000000049,-74.04351999999994
LOS CEDROS ORIENTAL,2.57,4656065,1783333,4.723690000000033,-74.03018999999995
TEUSAQUILLO,2.57,5053164,1643000,4.623290000000054,-74.07224999999994
CHICO NORTE II SECTOR,2.57,7195971,4926674,4.680430000000058,-74.04394999999994
ANTIGUO COUNTRY,2.57,8279308,4539780,4.6714900000000625,-74.05728999999997
